Date : 2025-08-06 20:29:01
Directory : /home/ysh/LSM/leveldb
Total : 533 files,  110987 codes, 29563 comments, 24774 blanks, all 165324 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| third_party/googletest/googletest/src                                                                           |         11 |      7,915 |      2,760 |      1,677 |     12,352 |
| third_party/googletest/googletest/test                                                                          |         82 |     18,699 |      6,179 |      4,594 |     29,472 |
| util                                                                                                            |         42 |      4,482 |        678 |        972 |      6,132 |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                        | language         | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /home/ysh/LSM/leveldb/.github/workflows/build.yml                                                               | YAML             |         81 |          8 |         14 |        103 |
| /home/ysh/LSM/leveldb/CMakeLists.txt                                                                            | CMake            |        464 |          0 |         56 |        520 |
| /home/ysh/LSM/leveldb/CONTRIBUTING.md                                                                           | Markdown         |         22 |          0 |          9 |         31 |
| /home/ysh/LSM/leveldb/README.md                                                                                 | Markdown         |        179 |          0 |         68 |        247 |
| /home/ysh/LSM/leveldb/benchmarks/db_bench.cc                                                                    | C++              |        932 |         82 |        125 |      1,139 |
| /home/ysh/LSM/leveldb/benchmarks/db_bench_log.cc                                                                | C++              |         70 |          3 |         20 |         93 |
| /home/ysh/LSM/leveldb/benchmarks/db_bench_sqlite3.cc                                                            | C++              |        570 |         69 |         88 |        727 |
| /home/ysh/LSM/leveldb/benchmarks/db_bench_tree_db.cc                                                            | C++              |        431 |         46 |         55 |        532 |
| /home/ysh/LSM/leveldb/db/autocompact_test.cc                                                                    | C++              |         79 |         13 |         19 |        111 |
| /home/ysh/LSM/leveldb/db/builder.cc                                                                             | C++              |         62 |          8 |         13 |         83 |
| /home/ysh/LSM/leveldb/db/builder.h                                                                              | C++              |         14 |          8 |          9 |         31 |
| /home/ysh/LSM/leveldb/db/c.cc                                                                                   | C++              |        463 |         10 |         93 |        566 |
| /home/ysh/LSM/leveldb/db/c_test.c                                                                               | C                |        329 |         11 |         45 |        385 |
| /home/ysh/LSM/leveldb/db/corruption_test.cc                                                                     | C++              |        297 |         19 |         47 |        363 |
| /home/ysh/LSM/leveldb/db/db_impl.cc                                                                             | C++              |      1,269 |        240 |        159 |      1,668 |
| /home/ysh/LSM/leveldb/db/db_impl.h                                                                              | C++              |        133 |         38 |         49 |        220 |
| /home/ysh/LSM/leveldb/db/db_iter.cc                                                                             | C++              |        254 |         29 |         36 |        319 |
| /home/ysh/LSM/leveldb/db/db_iter.h                                                                              | C++              |         12 |          6 |          9 |         27 |
| /home/ysh/LSM/leveldb/db/db_test.cc                                                                             | C++              |      1,900 |        164 |        297 |      2,361 |
| /home/ysh/LSM/leveldb/db/dbformat.cc                                                                            | C++              |        104 |         15 |         18 |        137 |
| /home/ysh/LSM/leveldb/db/dbformat.h                                                                             | C++              |        125 |         52 |         48 |        225 |
| /home/ysh/LSM/leveldb/db/dbformat_test.cc                                                                       | C++              |         96 |          8 |         25 |        129 |
| /home/ysh/LSM/leveldb/db/dumpfile.cc                                                                            | C++              |        197 |         14 |         22 |        233 |
| /home/ysh/LSM/leveldb/db/fault_injection_test.cc                                                                | C++              |        448 |         27 |         76 |        551 |
| /home/ysh/LSM/leveldb/db/filename.cc                                                                            | C++              |        108 |         15 |         19 |        142 |
| /home/ysh/LSM/leveldb/db/filename.h                                                                             | C++              |         33 |         31 |         20 |         84 |
| /home/ysh/LSM/leveldb/db/filename_test.cc                                                                       | C++              |        106 |          5 |         17 |        128 |
| /home/ysh/LSM/leveldb/db/leveldbutil.cc                                                                         | C++              |         53 |          3 |          9 |         65 |
| /home/ysh/LSM/leveldb/db/log_format.h                                                                           | C++              |         17 |          9 |         10 |         36 |
| /home/ysh/LSM/leveldb/db/log_reader.cc                                                                          | C++              |        200 |         39 |         36 |        275 |
| /home/ysh/LSM/leveldb/db/log_reader.h                                                                           | C++              |         46 |         43 |         24 |        113 |
| /home/ysh/LSM/leveldb/db/log_test.cc                                                                            | C++              |        442 |         31 |         86 |        559 |
| /home/ysh/LSM/leveldb/db/log_writer.cc                                                                          | C++              |         80 |         12 |         20 |        112 |
| /home/ysh/LSM/leveldb/db/log_writer.h                                                                           | C++              |         26 |         12 |         17 |         55 |
| /home/ysh/LSM/leveldb/db/memtable.cc                                                                            | C++              |         97 |         23 |         19 |        139 |
| /home/ysh/LSM/leveldb/db/memtable.h                                                                             | C++              |         45 |         22 |         21 |         88 |
| /home/ysh/LSM/leveldb/db/recovery_test.cc                                                                       | C++              |        284 |         15 |         41 |        340 |
| /home/ysh/LSM/leveldb/db/repair.cc                                                                              | C++              |        358 |         54 |         40 |        452 |
| /home/ysh/LSM/leveldb/db/skiplist.h                                                                             | C++              |        234 |         89 |         58 |        381 |
| /home/ysh/LSM/leveldb/db/skiplist_test.cc                                                                       | C++              |        269 |         49 |         51 |        369 |
| /home/ysh/LSM/leveldb/db/snapshot.h                                                                             | C++              |         60 |         16 |         20 |         96 |
| /home/ysh/LSM/leveldb/db/table_cache.cc                                                                         | C++              |         99 |          5 |         17 |        121 |
| /home/ysh/LSM/leveldb/db/table_cache.h                                                                          | C++              |         31 |         15 |         16 |         62 |
| /home/ysh/LSM/leveldb/db/version_edit.cc                                                                        | C++              |        225 |          7 |         27 |        259 |
| /home/ysh/LSM/leveldb/db/version_edit.h                                                                         | C++              |         79 |          7 |         21 |        107 |
| /home/ysh/LSM/leveldb/db/version_edit_test.cc                                                                   | C++              |         30 |          3 |          9 |         42 |
| /home/ysh/LSM/leveldb/db/version_set.cc                                                                         | C++              |      1,269 |        241 |        158 |      1,668 |
| /home/ysh/LSM/leveldb/db/version_set.h                                                                          | C++              |        184 |        124 |         86 |        394 |
| /home/ysh/LSM/leveldb/db/version_set_test.cc                                                                    | C++              |        284 |          3 |         45 |        332 |
| /home/ysh/LSM/leveldb/db/write_batch.cc                                                                         | C++              |        111 |         15 |         25 |        151 |
| /home/ysh/LSM/leveldb/db/write_batch_internal.h                                                                 | C++              |         20 |         10 |         16 |         46 |
| /home/ysh/LSM/leveldb/db/write_batch_test.cc                                                                    | C++              |        117 |          3 |         13 |        133 |
| /home/ysh/LSM/leveldb/doc/benchmark.html                                                                        | HTML             |        420 |          0 |         40 |        460 |
| /home/ysh/LSM/leveldb/doc/impl.md                                                                               | Markdown         |        128 |          0 |         45 |        173 |
| /home/ysh/LSM/leveldb/doc/index.md                                                                              | Markdown         |        415 |          0 |        110 |        525 |
| /home/ysh/LSM/leveldb/doc/log_format.md                                                                         | Markdown         |         54 |          0 |         22 |         76 |
| /home/ysh/LSM/leveldb/doc/table_format.md                                                                       | Markdown         |         83 |          0 |         25 |        108 |
| /home/ysh/LSM/leveldb/helpers/memenv/memenv.cc                                                                  | C++              |        300 |         14 |         77 |        391 |
| /home/ysh/LSM/leveldb/helpers/memenv/memenv.h                                                                   | C++              |          8 |          7 |          8 |         23 |
| /home/ysh/LSM/leveldb/helpers/memenv/memenv_test.cc                                                             | C++              |        192 |         19 |         49 |        260 |
| /home/ysh/LSM/leveldb/include/leveldb/c.h                                                                       | C++              |        158 |         63 |         50 |        271 |
| /home/ysh/LSM/leveldb/include/leveldb/cache.h                                                                   | C++              |         27 |         56 |         21 |        104 |
| /home/ysh/LSM/leveldb/include/leveldb/comparator.h                                                              | C++              |         18 |         32 |         15 |         65 |
| /home/ysh/LSM/leveldb/include/leveldb/db.h                                                                      | C++              |         52 |         88 |         28 |        168 |
| /home/ysh/LSM/leveldb/include/leveldb/dumpfile.h                                                                | C++              |         11 |         10 |          8 |         29 |
| /home/ysh/LSM/leveldb/include/leveldb/env.h                                                                     | C++              |        181 |        176 |         61 |        418 |
| /home/ysh/LSM/leveldb/include/leveldb/export.h                                                                  | C++              |         22 |          3 |          9 |         34 |
| /home/ysh/LSM/leveldb/include/leveldb/filter_policy.h                                                           | C++              |         17 |         43 |         13 |         73 |
| /home/ysh/LSM/leveldb/include/leveldb/iterator.h                                                                | C++              |         41 |         49 |         23 |        113 |
| /home/ysh/LSM/leveldb/include/leveldb/options.h                                                                 | C++              |         46 |        111 |         34 |        191 |
| /home/ysh/LSM/leveldb/include/leveldb/slice.h                                                                   | C++              |         61 |         31 |         26 |        118 |
| /home/ysh/LSM/leveldb/include/leveldb/status.h                                                                  | C++              |         70 |         29 |         24 |        123 |
| /home/ysh/LSM/leveldb/include/leveldb/table.h                                                                   | C++              |         36 |         30 |         19 |         85 |
| /home/ysh/LSM/leveldb/include/leveldb/table_builder.h                                                           | C++              |         33 |         40 |         21 |         94 |
| /home/ysh/LSM/leveldb/include/leveldb/write_batch.h                                                             | C++              |         31 |         33 |         20 |         84 |
| /home/ysh/LSM/leveldb/issues/issue178_test.cc                                                                   | C++              |         54 |         15 |         17 |         86 |
| /home/ysh/LSM/leveldb/issues/issue200_test.cc                                                                   | C++              |         35 |          8 |         12 |         55 |
| /home/ysh/LSM/leveldb/issues/issue320_test.cc                                                                   | C++              |        100 |          4 |         23 |        127 |
| /home/ysh/LSM/leveldb/port/README.md                                                                            | Markdown         |          7 |          0 |          4 |         11 |
| /home/ysh/LSM/leveldb/port/port.h                                                                               | C++              |          9 |          6 |          5 |         20 |
| /home/ysh/LSM/leveldb/port/port_example.h                                                                       | C++              |         37 |         58 |         26 |        121 |
| /home/ysh/LSM/leveldb/port/port_stdcxx.h                                                                        | C++              |        176 |         17 |         31 |        224 |
| /home/ysh/LSM/leveldb/port/thread_annotations.h                                                                 | C++              |         77 |          6 |         26 |        109 |
| /home/ysh/LSM/leveldb/table/block.cc                                                                            | C++              |        220 |         39 |         34 |        293 |
| /home/ysh/LSM/leveldb/table/block.h                                                                             | C++              |         26 |          4 |         15 |         45 |
| /home/ysh/LSM/leveldb/table/block_builder.cc                                                                    | C++              |         61 |         33 |         14 |        108 |
| /home/ysh/LSM/leveldb/table/block_builder.h                                                                     | C++              |         27 |         12 |         16 |         55 |
| /home/ysh/LSM/leveldb/table/filter_block.cc                                                                     | C++              |         78 |         10 |         19 |        107 |
| /home/ysh/LSM/leveldb/table/filter_block.h                                                                      | C++              |         40 |         14 |         15 |         69 |
| /home/ysh/LSM/leveldb/table/filter_block_test.cc                                                                | C++              |         90 |         12 |         21 |        123 |
| /home/ysh/LSM/leveldb/table/format.cc                                                                           | C++              |        136 |         12 |         17 |        165 |
| /home/ysh/LSM/leveldb/table/format.h                                                                            | C++              |         52 |         22 |         26 |        100 |
| /home/ysh/LSM/leveldb/table/iterator.cc                                                                         | C++              |         60 |          3 |         14 |         77 |
| /home/ysh/LSM/leveldb/table/iterator_wrapper.h                                                                  | C++              |         71 |         11 |         11 |         93 |
| /home/ysh/LSM/leveldb/table/merger.cc                                                                           | C++              |        147 |         19 |         26 |        192 |
| /home/ysh/LSM/leveldb/table/merger.h                                                                            | C++              |          9 |         11 |          7 |         27 |
| /home/ysh/LSM/leveldb/table/table.cc                                                                            | C++              |        220 |         22 |         30 |        272 |
| /home/ysh/LSM/leveldb/table/table_builder.cc                                                                    | C++              |        213 |         32 |         36 |        281 |
| /home/ysh/LSM/leveldb/table/table_test.cc                                                                       | C++              |        702 |         32 |        109 |        843 |
| /home/ysh/LSM/leveldb/table/two_level_iterator.cc                                                               | C++              |        136 |         10 |         26 |        172 |
| /home/ysh/LSM/leveldb/table/two_level_iterator.h                                                                | C++              |         12 |         12 |          8 |         32 |
| /home/ysh/LSM/leveldb/tests/generate_workload.py                                                                | Python           |         59 |         14 |         18 |         91 |
| /home/ysh/LSM/leveldb/tests/workload_runner.cpp                                                                 | C++              |        107 |         22 |         18 |        147 |
| /home/ysh/LSM/leveldb/third_party/benchmark/.github/ISSUE_TEMPLATE/bug_report.md                                | Markdown         |         25 |          0 |          8 |         33 |
| /home/ysh/LSM/leveldb/third_party/benchmark/.github/ISSUE_TEMPLATE/feature_request.md                           | Markdown         |         15 |          0 |          6 |         21 |
| /home/ysh/LSM/leveldb/third_party/benchmark/.github/install_bazel.sh                                            | Shell Script     |         12 |          1 |          1 |         14 |
| /home/ysh/LSM/leveldb/third_party/benchmark/.github/libcxx-setup.sh                                             | Shell Script     |          2 |         23 |          3 |         28 |
| /home/ysh/LSM/leveldb/third_party/benchmark/.github/workflows/bazel.yml                                         | YAML             |         29 |          0 |          7 |         36 |
| /home/ysh/LSM/leveldb/third_party/benchmark/.github/workflows/clang-format-lint.yml                             | YAML             |         15 |          0 |          3 |         18 |
| /home/ysh/LSM/leveldb/third_party/benchmark/.github/workflows/clang-tidy.yml                                    | YAML             |         32 |          0 |          7 |         39 |
| /home/ysh/LSM/leveldb/third_party/benchmark/.github/workflows/doxygen.yml                                       | YAML             |         23 |          0 |          6 |         29 |
| /home/ysh/LSM/leveldb/third_party/benchmark/.github/workflows/pylint.yml                                        | YAML             |         22 |          0 |          7 |         29 |
| /home/ysh/LSM/leveldb/third_party/benchmark/.github/workflows/sanitizer.yml                                     | YAML             |         88 |          2 |         17 |        107 |
| /home/ysh/LSM/leveldb/third_party/benchmark/.github/workflows/test_bindings.yml                                 | YAML             |         26 |          0 |          4 |         30 |
| /home/ysh/LSM/leveldb/third_party/benchmark/.github/workflows/wheels.yml                                        | YAML             |         68 |          0 |         12 |         80 |
| /home/ysh/LSM/leveldb/third_party/benchmark/.travis.yml                                                         | YAML             |        196 |          6 |          7 |        209 |
| /home/ysh/LSM/leveldb/third_party/benchmark/.ycm_extra_conf.py                                                  | Python           |         76 |         19 |         21 |        116 |
| /home/ysh/LSM/leveldb/third_party/benchmark/CMakeLists.txt                                                      | CMake            |        299 |          0 |         39 |        338 |
| /home/ysh/LSM/leveldb/third_party/benchmark/CONTRIBUTING.md                                                     | Markdown         |         41 |          0 |         18 |         59 |
| /home/ysh/LSM/leveldb/third_party/benchmark/README.md                                                           | Markdown         |        170 |          0 |         55 |        225 |
| /home/ysh/LSM/leveldb/third_party/benchmark/_config.yml                                                         | YAML             |          2 |          0 |          1 |          3 |
| /home/ysh/LSM/leveldb/third_party/benchmark/appveyor.yml                                                        | YAML             |         37 |          1 |         13 |         51 |
| /home/ysh/LSM/leveldb/third_party/benchmark/bindings/python/google_benchmark/__init__.py                        | Python           |         81 |         51 |         31 |        163 |
| /home/ysh/LSM/leveldb/third_party/benchmark/bindings/python/google_benchmark/benchmark.cc                       | C++              |        154 |         12 |         19 |        185 |
| /home/ysh/LSM/leveldb/third_party/benchmark/bindings/python/google_benchmark/example.py                         | Python           |         75 |         34 |         28 |        137 |
| /home/ysh/LSM/leveldb/third_party/benchmark/bindings/python/requirements.txt                                    | pip requirements |          1 |          0 |          2 |          3 |
| /home/ysh/LSM/leveldb/third_party/benchmark/cmake/AddCXXCompilerFlag.cmake                                      | CMake            |         72 |          0 |          7 |         79 |
| /home/ysh/LSM/leveldb/third_party/benchmark/cmake/CXXFeatureCheck.cmake                                         | CMake            |         76 |          0 |          7 |         83 |
| /home/ysh/LSM/leveldb/third_party/benchmark/cmake/GetGitVersion.cmake                                           | CMake            |         53 |          0 |          6 |         59 |
| /home/ysh/LSM/leveldb/third_party/benchmark/cmake/GoogleTest.cmake                                              | CMake            |         42 |          0 |         11 |         53 |
| /home/ysh/LSM/leveldb/third_party/benchmark/cmake/gnu_posix_regex.cpp                                           | C++              |         11 |          0 |          2 |         13 |
| /home/ysh/LSM/leveldb/third_party/benchmark/cmake/llvm-toolchain.cmake                                          | CMake            |          6 |          0 |          3 |          9 |
| /home/ysh/LSM/leveldb/third_party/benchmark/cmake/posix_regex.cpp                                               | C++              |         13 |          0 |          2 |         15 |
| /home/ysh/LSM/leveldb/third_party/benchmark/cmake/pthread_affinity.cpp                                          | C++              |         16 |          0 |          1 |         17 |
| /home/ysh/LSM/leveldb/third_party/benchmark/cmake/split_list.cmake                                              | CMake            |          3 |          0 |          1 |          4 |
| /home/ysh/LSM/leveldb/third_party/benchmark/cmake/std_regex.cpp                                                 | C++              |          9 |          0 |          2 |         11 |
| /home/ysh/LSM/leveldb/third_party/benchmark/cmake/steady_clock.cpp                                              | C++              |          6 |          0 |          2 |          8 |
| /home/ysh/LSM/leveldb/third_party/benchmark/cmake/thread_safety_attributes.cpp                                  | C++              |          3 |          0 |          2 |          5 |
| /home/ysh/LSM/leveldb/third_party/benchmark/docs/AssemblyTests.md                                               | Markdown         |        107 |          2 |         41 |        150 |
| /home/ysh/LSM/leveldb/third_party/benchmark/docs/_config.yml                                                    | YAML             |          1 |          0 |          1 |          2 |
| /home/ysh/LSM/leveldb/third_party/benchmark/docs/dependencies.md                                                | Markdown         |          9 |          0 |          5 |         14 |
| /home/ysh/LSM/leveldb/third_party/benchmark/docs/index.md                                                       | Markdown         |         11 |          0 |          2 |         13 |
| /home/ysh/LSM/leveldb/third_party/benchmark/docs/perf_counters.md                                               | Markdown         |         27 |          0 |          9 |         36 |
| /home/ysh/LSM/leveldb/third_party/benchmark/docs/platform_specific_build_instructions.md                        | Markdown         |         37 |          0 |         11 |         48 |
| /home/ysh/LSM/leveldb/third_party/benchmark/docs/python_bindings.md                                             | Markdown         |         27 |          0 |          8 |         35 |
| /home/ysh/LSM/leveldb/third_party/benchmark/docs/random_interleaving.md                                         | Markdown         |         10 |          0 |          4 |         14 |
| /home/ysh/LSM/leveldb/third_party/benchmark/docs/reducing_variance.md                                           | Markdown         |         77 |          0 |         24 |        101 |
| /home/ysh/LSM/leveldb/third_party/benchmark/docs/releasing.md                                                   | Markdown         |         30 |          0 |          8 |         38 |
| /home/ysh/LSM/leveldb/third_party/benchmark/docs/tools.md                                                       | Markdown         |        175 |          0 |         29 |        204 |
| /home/ysh/LSM/leveldb/third_party/benchmark/docs/user_guide.md                                                  | Markdown         |        994 |          8 |        265 |      1,267 |
| /home/ysh/LSM/leveldb/third_party/benchmark/include/benchmark/benchmark.h                                       | C++              |      1,039 |        632 |        283 |      1,954 |
| /home/ysh/LSM/leveldb/third_party/benchmark/include/benchmark/export.h                                          | C++              |         38 |          2 |          8 |         48 |
| /home/ysh/LSM/leveldb/third_party/benchmark/requirements.txt                                                    | pip requirements |          2 |          0 |          1 |          3 |
| /home/ysh/LSM/leveldb/third_party/benchmark/setup.py                                                            | Python           |        122 |         14 |         31 |        167 |
| /home/ysh/LSM/leveldb/third_party/benchmark/src/CMakeLists.txt                                                  | CMake            |        144 |          0 |         27 |        171 |
| /home/ysh/LSM/leveldb/third_party/benchmark/src/arraysize.h                                                     | C++              |         15 |         11 |          8 |         34 |
| /home/ysh/LSM/leveldb/third_party/benchmark/src/benchmark.cc                                                    | C++              |        565 |         98 |        103 |        766 |
| /home/ysh/LSM/leveldb/third_party/benchmark/src/benchmark_api_internal.cc                                       | C++              |        100 |          0 |         19 |        119 |
| /home/ysh/LSM/leveldb/third_party/benchmark/src/benchmark_api_internal.h                                        | C++              |         73 |          1 |         14 |         88 |
| /home/ysh/LSM/leveldb/third_party/benchmark/src/benchmark_main.cc                                               | C++              |          3 |         13 |          3 |         19 |
| /home/ysh/LSM/leveldb/third_party/benchmark/src/benchmark_name.cc                                               | C++              |         32 |         16 |         12 |         60 |
| /home/ysh/LSM/leveldb/third_party/benchmark/src/benchmark_register.cc                                           | C++              |        389 |         45 |         87 |        521 |
| /home/ysh/LSM/leveldb/third_party/benchmark/src/benchmark_register.h                                            | C++              |         66 |         19 |         25 |        110 |
| /home/ysh/LSM/leveldb/third_party/benchmark/src/benchmark_runner.cc                                             | C++              |        326 |         98 |         74 |        498 |
| /home/ysh/LSM/leveldb/third_party/benchmark/src/benchmark_runner.h                                              | C++              |         79 |         15 |         38 |        132 |
